id	name	prereq	subseq	type	alias	description
156	Penny Drop Gainer	Penny Drop		Bar/Flip		Penny Drop into a Gainer.
157	Wall Gainer	Gainer	EW Gainer, Hang Castaway Wall Gainer, Punch Wall Gainer, Two-Step Wall Gainer, Wall Gainer Down Monkey, Wall Gainer Full, Wall Gainer Full-Down, Wall Gainer One-Hand Down Monkey	Wall/Flip		One step off a wall with a 180 turn set into a gainer. This was first landed by Ryan Doyle in 2007.
158	Two-Step Wall Gainer	Wall Gainer	Two-Step Wall Stall Gainer	Wall/Flip		Two steps up a wall set into a Gainer. This was first landed by Alfred Scott of Dodo Freerunning in 2012.
159	Punch Wall Gainer	Wall Gainer	Punch Wall Stall Gainer	Wall/Flip		Punch off the wall set into a Gainer. This was first landed by Alfred Scott of Dodo Freerunning in 2013.
160	EW Gainer	Wall Gainer	Devil Drop EW Gainer, EW Gainer Arabian, EW Gainer Full, EW Stall Gainer	Wall/Flip	Eugene Wall Gainer, Erik Wall Gainer	This move was named after Erik Mukhametshin's friend, Eugene, who invented the move in 2007. It is also commonly referred to by the misnomer Erik Wall Gainer. After the first step on the wall, you turn 180 and use your other leg to set into the Gainer.
161	Chair Spin Gainer		Chair Spin Gainer Full, Chair Spin Gainer Full-Down	Pole/Flip		Chair Spin (Pole Dancing move) into a Gainer.
162	Chair Spin Gainer Full	Chair Spin Gainer		Pole/Flip/Twist		Chair Spin (Pole Dancing move) into a Gainer Full.
163	Human Flag Castaway Back	Castaway Back, Human Flag	Human Flag Castaway Wall Flip	Pole/Flip		Castaway Back set from Human Flag position. This was first attempted by Vlas Vladimirov in 2013.
164	Human Flag Toe Shoot Front	Human Flag, Toe Shoot Front		Pole/Flip		Toe Shoot Front set from Human Flag.
165	Knee Gainer	Gainer	Kneel Gainer Down Monkey	Wall/Flip		Gainer set from kneeling on both knees off a ledge.
166	Knee Front Flip	Front Flip	Knee Inward Front	Flip		Front Flip set from kneeling on a ledge using both knees.
167	Knee Side Flip	Side Flip	Knee Side Full	Wall/Flip		Side Flip set from kneeling on a ledge using both knees.
168	Side Flip		270 Dive Side Sumi, Devil Drop Side, Double Side Flip, Full-Up Side, Inward Side, Knee Side Flip, Palm Side, Raiden Side, Side Cat, Side Flip Handplant 360, Side Flip One and a Half Dive Roll, Side Flip Precision, Side Full, Side Pistol, Side Quarter Back, Stall Side Flip, Tic Tac Side, Touchdown Side Flip, Trinity Flip, Tunnel Flip, Wall Side Flip, Webster Side	Flip	Side Tuck	A flip tucked sideways rotating around the saggital axis.
169	Side Cat	Side Flip		Flip		Side Flip landing in Cat Hang position.
170	Side Flip Precision	Side Flip		Beam/Flip		Side Flip landing in Precision.
171	Side Full	Side Flip, Side Full-In Back-Out	Kick Side Full, Side Double Full, Side Unwind Half	Flip/Twist		A full twisting Side Flip.
172	Tunnel Flip	Side Flip	Gargoyle Tunnel, Inward Tunnel Flip, Palm Tunnel Flip, Pendulum, Running Tunnel Flip, Sitting Touchdown Tunnel Flip, Speed Tunnel, Tunnel Full, Tunnel Pike, Tunnel Stall, Wall Tunnel Flip	Flip		A forward traveling Side Flip.
173	Palm Side	Side Flip	Gargoyle 270 Palm Side, One-Step Palm Side, Palm Side Half, Palm Side Pistol	Wall/Flip		Side Flip set by jumping and then pushing off a wall with one hand.
174	One-Step Palm Side	Palm Side	One-Step Palm Punch Wall Side, Two-Step Palm Side	Wall/Flip		One step up a wall set into a Palm Side.
175	Wall Inward Side	Inward Side	Two-Step Wall Inward Side, Wall Inward Side Full, Wall Inward Side Walkdown, Wall Inward Side Wall Dive Roll, Wall Inward Stall Side	Wall/Flip		One step up a wall set into an Inward Side.
176	Two-Step Wall Inward Side	Wall Inward Side	Two-Step Wall Inward Double Side	Wall/Flip		Two steps up a wall set into a Wall Inward Side.
177	Two-Step Palm Side	One-Step Palm Side		Wall/Flip		Two steps up a wall set into a Palm Side.
178	Trinity Flip	Horizontal Wall Run, Side Flip		Wall/Flip		Tic Tac or Horizontal Wall Run using the outside foot to set into a side tuck. This move is typically referred to a Trinity Flip named after the character, Trinity, who does this trick in the 1999 movie The Matrix during the lobby scene.
179	Flyaway Catch	Flyaway	Double Flyaway Catch, Flyaway Full Catch, Giant Release Half Twist Handstand Catch	Flip/Bar	Flyaway Catch	Flyaway to bar catch. This was first done by Gyong Sil Pak in 1989.
180	Lache Handstand	Handstand, Lache Dive Roll		Bar/Flip/Handstand		Lache executed into Handstand.
181	Toe Shoot Dark Arabian	Toe Shoot Front		Bar/Flip/Twist		Toe shoot half turn into a back tuck.
182	Palm Spin		Palm Spin Gaet Pimp, Palm Spin Pimp, Reverse Palm Spin, Wall Spin		Rail Spin	A 180 spin on a ledge or rail using both hands.
183	Wall Spin	Palm Spin	Devil Drop Wall Spin, One-Step Wall Spin, Wall Spin Back Out, Wall Spin Flip, Wall Spin Twist, Wall Spring	Wall/Flip		Flip performed by pivoting over one hand on a wall while using the other to push.
184	Reverse Palm Spin 360	Reverse Palm Spin	Reverse Palm Spin 360 Pimp		J-Spin	Palm Spin with an additional 180 spin so that you land on the opposite side from which you started. This was first landed by Jason Paul in 2009.
185	Palm Spin Gainer		Pimp Spin Gainer	Wall/Flip	Broken Arm Spin	Gainer pivoting around the hand closest to the wall, ledge, or rail  while leading with the leg closest to the wall.
186	Wall Spin Back Out	Wall Spin		Wall/Flip		Wall Spin into a back tuck.
187	Wall Spin Twist	Wall Spin	One-Hand Wall Spin Palm Twist, Wall Spin 540	Wall/Flip/Twist		Wall Spin into a full twist.
188	Reverse Palm Spin 360 Pimp	Pimp Flip, Reverse Palm Spin 360		Flip		Reverse Palm Spin 360 into a Pimp Flip. This was first landed by Jason Paul in 2012.
189	Butterfly Twist Vault	Butterfly Vault	Double Butterfly Twist Vault	Vault/Twist	Rail Butterfly Twist	A full twisting Butterfly Vault. This was first landed by Damien Walters in 2009. Reference Club540.com for Butterfly Twist.
190	Rail Aerial Twist	Aerial Twist	Rail Aerial Twist-In Back-Out, Rail Double Aerial Twist	Vault/Flip/Twist	Rail A-twist	A one-hand vault set into an Aerial Twist.
191	Palm Butterfly Twist	Butterfly Twist	Palm Double Butterfly Twist	Wall/Twist	Palm B-twist	Butterfly Twist using one hand to push away from a wall. Reference Club540.com for Butterfly Twist.
192	Wall One-Hand Raiz	One-Hand Raiz		Wall/Flip		One-Hand Raiz (Sailor Moon) performed by placing the hand on the wall. Reference Club540.com for Sailor Moon.
193	Human Flag		Human Flag Castaway Back, Human Flag Gainer, Human Flag Inward Side, Human Flag Toe Shoot Front	Pole		A position where the body is held in side plank position by using both hands to hold onto any vertical object.
194	Tic Tac		Horizontal Wall Run, Tic Tac Front, Tic Tac Side	Wall	Tic Tak	Step off a wall to get more height for a move, or travel further forward.
195	Wall Pop		Wall Pop 360	Wall		Step up the face of a wall in order to grab the top of it.
196	Wall Pop 360	Wall Pop	One-Step 360 Palm Flip, Wall Full-Up Inward Front	Wall/Twist		A 360 twisting Wall Pop.
197	Cat Leap		180 Cat Leap, 360 Cat Leap, Turn Wall Hang Drop	Wall	Arm Jump	A jump to Cat Hang position, which uses both hands to grab the top of the wall and both feet to grip the surface of the wall.
198	360 Cat Leap	Cat Leap		Wall		A 360 jump landing in Cat Hang position.
199	Underbar			Bar		A two-foot jump between two horizontal parallel bars. As the body moves between the bars, both hands grab and push the top bar to assist upper body through.
200	Roll Kip-up Handstand	Handstand, Roll Kip-up		Handstand		Kip-up into Handstand. As the Kip-up transitions to Handstand, both legs tuck in, allowing the body to over-rotate to Handstand. This was first landed by Cato Aspmo in 2009. Reference Club540.com for Kip-up.
201	Roll Kip-up Front	Roll Kip-up		Roll/Flip		A rolling Kip-up off a ledge into a front tuck. This was first landed by Cato Aspmo in 2009. Reference Club540.com for Kip-up.
202	Horizontal Wall Run	Tic Tac	360 Horizontal Wall Run, Trinity Flip	Wall		Tic Tac followed by one or more steps across the same wall.
203	360 Horizontal Wall Run	Horizontal Wall Run		Wall		Tic Tac with a quarter turn towards the wall allowing the opposite to step into a  270 Tic Tak.
204	Crane Step					A jump landing with one foot on top of the wall. Crane also commonly refers to the position.
205	Turn Vault			Vault		A vault over a rail or thin wall with a 180 turn landing immediately on the other side of the obstacle. This move is typically landed in Cat Hang position.
206	Gate Vault			Vault/Flip		A vault with one hand placed on the top of the wall or rail and the other hand on the other side so that you completely invert and flip over to land facing forward on the other side.
207	Rail Front Handspring	Front Handspring		Vault/Flip	Rail Flip	A two-hand vault using both legs to arch over into a front handspring over the obstacle. Reference Club540.com for Front Handspring.
208	Giant		Giant Pimp, Giant Release Half Twist Handstand Catch, Reverse Giant, Shoulder Giant	Bar		A move where the performer holds onto a high bar with both hands while swinging around it fully extended.
209	Reverse Giant	Giant		Bar		A backward swinging Giant.
210	Wall Flare		One-Step Wall Flare	Wall		Flare executed on a wall. Reference Club540.com for Flare.
211	Wall Inward Aerial Twist	Inward Aerial Twist	One-Step Palm Inward Aerial Twist, Wall Inward Double Aerial Twist	Wall/Flip/Twist	Wall Inward A-twist	One step up a wall set into an Inward Aerial Twist.
212	One-Step Two-Hand Palm Inward Aerial Twist Double Leg		One-Step Two-Hand Palm Inward Aerial Twist Double Leg Twist	Wall/Flip	We Don't Know What It Is Flip	One step up a wall followed by a two-hand push set into an inward Aerial Twist Double Leg. Reference Club540 for Double Leg.
213	Raiden	Front Handspring	Devil Drop Raiden, One-Hand Raiden, One-Step Raiden, Raiden Half, Raiden Side	Wall/Flip		A forward dive set into a front handspring off a wall. This was first landed by Victor Lopez in 2007. Reference Club540.com for Front Handspring.
214	Raiden Half	Raiden		Wall/Flip/Twist		A half twisting Raiden. This was first landed by Zac Camino in 2012.
215	One-Hand Raiden	Raiden		Wall/Flip		Raiden using one hand.
216	Wall Gainer One-Hand Down Monkey	One-Hand Down Monkey, Wall Gainer	Wall Gainer One-Hand Down Monkey Full-Down	Wall/Flip	Dragonfly	One step off a wall, turn 180 degrees, arch backwards towards the wall, place one hand on the wall, and flip towards the wall and push off.
217	Side Flip Handplant 360	Side Flip		Vault/Flip/Twist		Side Flip over an obstacle using one hand while inverted to push off into a full twist.
218	Back Full Cat	Back Cat		Wall/Flip/Twist		Back Full off a ledge landing in Cat Hang position.
219	Castaway Inward Front Regrab	Castaway Inward Front		Bar/Flip	Alleyoop	Castaway Inward Front to regrabbing the bar.
220	Down Monkey	Back Handspring	180 Dive Down Monkey, 270 Dive Down Monkey, Devil Drop Gainer Down Monkey, Dive Down Monkey, Dive Twisting Trapdoor Down Monkey, Down Monkey Handstand, Hang Castaway Down Monkey, Inward Dark Arabian Down Monkey, Kneel Gainer Down Monkey, Kroc Down Monkey, One-Hand Down Monkey, Swing Castaway Down Monkey, Wall Layout Down Monkey	Wall/Flip		Back Handspring pushing with both hands off a wall. Reference Club540.com for Back Handspring.
221	Inward Down Monkey	Front Handspring	Inward Down Monkey Half, Inward Flyaway Inward Down Monkey	Wall/Flip		Down Monkey rotating in the opposite direction. This move is typically set from Round Off.
222	Inward Dark Arabian Down Monkey	Down Monkey, Inward Front Half		Wall/Flip/Twist		An Inward Front Half into a Down Monkey off a ledge.
223	Stall Side Flip	Side Flip		Flip	Suicide Side Flip	Side Flip with a stall rotation.
224	Stall Back Flip	Back Flip		Flip	Suicide Back Flip	Back Flip with a stalled rotation.
225	One-Hand Raiz Twist	One-Hand Raiz		Twist	Jango Twist, Sailor Moon Twist	A one and a half twisting One-Hand Raiz set off a low wall or ledge. This technique is different from the technique used in Tricking. The hand used to push off the obstacle causes the body to travel sideways, whereas in Tricking, the body only travels up from the jump. This was first landed by Cory DeMeyers in 2013.
226	One-Step Wall Flare Back	One-Step Wall Flare		Wall/Flip		One-Step Wall Flare into a back tuck by kicking off the wall.
227	Kong Side	Kong Vault	Kong Side Full, One-Step Kong Side	Vault/Flip	Cat Pass Side	Kong Vault set into a side tuck.
228	Kong Double Front	Kong Front		Vault/Flip	Cat Pass Double Front	Kong Vault executed into a Double Front.
229	Inward Flyaway Catch	Inward Flyaway		Bar/Flip	Madrid	An Inward Flyaway to bar catch.
230	Lazy Vault		Lazy Cat, Lazy Gainer, Lazy Roll, Thief Vault	Vault		A vault where the hand closest to the wall pushes off immediately followed by the leg on the same side. When both legs are over, the opposite hand helps push away.
231	Thief Vault	Lazy Vault	Dash Vault, Thief Cat, Thief Precision	Vault		A vault where the hand closest to the wall pushes off immediately followed by the leg on the opposite side. When both legs are over, the opposite hand helps push away.
232	Castaway Pimp	Pimp Flip	Castaway Pimp Full	Bar/Flip		A cast set over a bar or wall into a Pimp Flip.
233	Penny Drop		Penny Drop Gainer	Bar		A backwards bar swing using both knees. As the chest returns to facing forward, both knees release landing on both feet in front of the bar.
234	Double Frisbee	Frisbee		Flip		A double rotating Frisbee. This was first landed by Pasha Petkuns in 2015.
235	Lache Precision	Lache		Bar/Beam		Lache to a precision landing.
236	Lache Cat	Lache		Bar/Wall		Lache landing in Cat Hang position.
237	Lache Crane	Lache		Bar		Lache landing in Crane position.
238	Palm Spin Frisbee	Frisbee		Wall/Flip		Palm Spin set into a Frisbee.
239	Front 360 Dive Roll	One-and-a-Half Front Flip Dive Roll		Flip/Twist/Roll	Front Vortex	Front Flip into a 360 Dive Roll.
240	Castaway Pimp Full	Castaway Pimp		Flip/Twist/Twist		A cast set over a bar or wall into a Pimp Full.
241	Sitting Turn Castaway Back	Turn Castaway Back	Double Leg Circle Castaway, Sitting Turn Castaway Full	Wall/Flip		Castaway Back set off a ledge from sitting position.
242	Sitting Turn Pimp Full	Sitting Turn Pimp Flip		Wall/Flip/Twist		A full twisting Sitting Turn Pimp Flip.
243	Double Gaet Pimp	Gaet Pimp	Gaet Pimp Full-In Back-Out, Gaet Pimp Layout-In Back-Out	Beam/Flip		A double rotating Gaët Pimp. This was first landed by Gaetan Bouillet of Speeders Family in 2012.
244	Wall Spring	Wall Spin	One-Step Wall Spring	Wall/Flip		Front Handspring performed off a wall while inverted during a Wall Spin. This was first landed by Kit Ackermann in 2007. Reference Club540.com for Front Handspring.
245	One-Hand Reverse Double Leg Double Twist	One-Hand Reverse Double Leg Twist		Vault/Flip/Twist	Barrel Double Full	A double twisting One-Hand Reverse Double Leg. Reference Club540.com for Doubleleg Double Twist.
246	Cast Bomb Arabian	Cast Bomb		Vault/Flip/Twist		Cast Bomb set into an Arabian.
247	Shoulder Vault 360	Shoulder Vault	360 Shoulder Vault 360, Shoulder Vault Twist Dive Roll	Vault/Twist	Sky Vault	A full twisting Shoulder Vault.
248	Kash Bomb	Dash Bomb, Kash Vault	Cast Kash Bomb	Vault/Flip		Kong Vault into a Dash Bomb.
249	Scoot Pimp Full	Scoot Pimp Flip		Wall/Flip/Twist		Scoot into Pimp Full.
250	One-hand Gaet Pimp Full	One-hand Gaet Pimp	One-hand Gaet Pimp Double Full	Vault/Flip/Twist		A full twisting One-hand Gaet Pimp.
251	Sitting Turn Castaway Full	Castaway Full, Sitting Turn Castaway Back		Wall/Flip/Twist		A full twisting Sitting Castaway.
252	One-Hand Down Monkey Full	One-Hand Down Monkey		Wall/Flip/Twist		A full twisting One-Hand Down Monkey.
253	Rail Triple Aerial Twist	Rail Double Aerial Twist		Vault/Flip/Twist	Rail Triple A-twist	A triple twisting Rail Aerial.
254	Human Flag Inward Side	Devil Drop Side, Human Flag		Pole/Flip		An Inward Side Flip set from Flag.
255	Gargoyle Tunnel	Tunnel Flip		Wall/Flip		A side tuck set from Gargoyle position by either using Erik Mukhametshin's style or the over grip technique. Each Gargoyle technique fundamentally changes how this move is executed. Erik's allows both arms to push up lifting the chest during the set. In comparison, the over grip technique positions the chest down during the set. These are considered two distinct moves only differing by set, but are catalogued as one for brevity.
256	Gargoyle Front		Devil Drop Turn Gargoyle Front	Wall/Flip		A front tuck set from Gargoyle position.
257	Inward Webster	Webster Front	Inward Double Webster, Inward Webster Half	Flip	Loser	A backwards traveling Webster. This move is typically done off a ledge. Reference Club540.com for Webster.
258	Inward Double Front	Double Front Flip, Inward Front		Flip		A double rotating Inward Front.
259	Inward Double Aerial Twist	Inward Aerial Twist		Flip/Twist	Inward Double A-twist	A backwards traveling Double Aerial Twist. This move is typically done off a ledge.
260	Palm Double Butterfly Twist	Palm Butterfly Twist		Wall/Twist	Palm Double B-twist	Double Butterfly Twist using one hand to push away from a wall. Reference Club540.com for Double Butterfly Twist.
261	Double Devil Drop	Devil Drop		Wall/Flip		A double rotating Devil Drop.
262	Cast Front		Cast One-and-a-Half Front Flip Dive Roll	Bar/Flip		A cast into a front tuck over the bar.
263	Castaway Inward Front Half	Castaway Inward Front		Bar/Flip/Twist	Cast Inward Barani	A half twisting Castaway Inward Front.
264	One-Step Palm Flip	Palm Flip	One-Step 360 Palm Flip, One-Step Palm Double Back, One-Step Palm Flip Down Monkey, One-Step Palm Full, One-Step Palm Kick-Out, One-Step Palm Layout, One-Step Palm Punch Layout, One-Step Palm X-Out, Two-Step Palm Flip	Wall/Flip		One step up a wall into a Palm Flip.
265	Devil Drop Side	Side Flip	Devil Drop Side Catch, Devil Drop Side Full, Devil Drop Side Full-Down, Devil Drop Stall Side, Human Flag Inward Side	Wall/Flip		An Inward Side set from Cat Hang position.
266	Sitting Dash Gainer		Sitting Dash Gainer Full-Down	Bar/Flip	L-sit Gainer	Gainer set from sitting position on a bar or ledge using both hands to lift and push while both legs pull up into the flip
267	Castaway Double Full	Castaway Full		Bar/Flip/Twist		A double twisting Castaway.
268	Double Inward Flyaway	Inward Flyaway	Inward Flyaway-In Half-Out	Bar/Flip		A double rotating Inward Flyaway.
269	Kong Front Half	Kong Front	Kong Front Full	Vault/Flip/Twist	Cat Pass Barani, Kong Barani	A half twisting Kong Front.
270	Reverse Palm Spin Inward Frisbee Vault	Reverse Palm Spin Inward Frisbee		Vault/Flip	Powdered Donut	Reverse Palm Spin Inward Frisbee set over a vault.
271	One-Hand Palm Gainer Full	One-Hand Palm Gainer	One-Hand Palm Gainer Double Full, One-Step One-Hand Palm Gainer Full	Wall/Flip/Twist	Ginger Flip Full, Hi-Five Gainer Full	A full twisting One-Hand Palm Gainer.
272	Full-Up Gainer	Stall Gainer	Full-Up Gainer Full-Down	Flip/Twist	Vortex Gainer	A full twist up stalling the rotation into a Gainer. This was first landed by Alfred Scott of Dodo Freerunning in 2013.
273	Inward Front	Front Flip	Castaway Inward Front, Devil Drop, Inward Double Front, Inward Front Catch, Inward Front Half, Inward Front Pike, Kip Inward Front, Punch Wall Inward Front, Wall Inward Front	Flip		A backwards traveling front tuck set off of both feet. This move is typically done off a ledge.
274	Knee Side Full	Knee Side Flip		Wall/Flip/Twist		Side Full set from kneeling position on a ledge.
275	Wall Tunnel Flip	Tunnel Flip	One-Step Palm Tunnel, Wall Tunnel Cat	Wall/Flip		One step up a wall set into a Tunnel Flip.
276	270 Cat Leap	180 Cat Leap		Wall		A three-quarter degree Cat Leap to a perpendicular wall from Cat Hang position.
277	Double Kong Precision	Double Kong		Vault/Beam	Double Cat Pass Precision	Double Kong Vault to Precision landing.
278	Sitting Dash Bomb	Dash Bomb	Sitting Dash Bomb Half	Wall/Flip		Dash Bomb set from sitting position.
279	Tsukahara Double Arabian Vault	Tsukahara Arabian Vault		Vault/Flip/Twist		A handspring with a quarter to half twist dive onto the vault into a Double Arabian.
280	Reverse Double Kong	Reverse Kong		Vault	Reverse Double Cat Pass	Reverse Kong off a vault diving into a Reverse Kong off a consecutive obstacle.
281	540 Regrab	360 Regrab		Bar/Twist		A forward swing released into a 540 twist and then regrabbing the bar.
282	Back Roll Half Down	Backward Roll		Roll/Twist		A backwards roll off a ledge followed by a half twist down.
283	Wall Tunnel Cat	Wall Tunnel Flip		Wall/Flip		Wall Tunnel Flip landing in Cat Hang position.
284	Inward 360 Dive Roll Bomb	Inward 360 Dive Roll		Roll/Flip/Twist	Inward Morph Bomb	An Inward 360 Dive Roll off a ledge into a front tuck.
285	Kneel Gainer Down Monkey	Down Monkey, Knee Gainer		Wall/Flip		Gainer set from kneeling on one knee into a Down Monkey off a ledge.
286	Toe Shoot Front	Toe Shoot Dive Roll	Human Flag Toe Shoot Front, One-Hand Toe Shoot Front, Toe Shoot Dark Arabian, Toe Shoot Double Front, Toe Shoot Front Half, Toe Shoot Front Layout	Bar/Flip		A toe shoot (while swinging forward from the back swing, both feet kick straight up in front of the bar, as in an Underbar, and then whip down to lift the chest up) executed into a front tuck.
287	Wall Back Handspring	Wall Layout		Wall/Flip	Wall BHS	Wall Flip set into a Back Handspring off the same wall. Reference Club540 for Back Handspring.
288	Two-Foot Wall Inward Side	Inward Side	Lache Two-Foot Wall Inward Side, Two-Foot Wall Full-Up Inward Side, Two-Foot Wall Inward Side Full	Wall/Flip		Punch set on a wall into an Inward Side Flip.
289	Kasamatsu Vault	Tsukahara Vault		Vault/Flip/Twist		A full twisting Tsukahara Vault. This was first landed by Shigeru Kasamatsu, the 1974 world gymnastics all-around champion gold medalist.
290	Castaway Double Back	Castaway Back		Bar/Flip		A castaway set into a double back tuck.
291	Kong Cast Bomb	Cast Bomb, Kong Reverse Kong		Vault/Flip	Cat Pass Cast Bomb	Kong Vault off a vault diving into a Cast Bomb off a consecutive obstacle.
292	Inward Flyaway One and a Half Full	Inward Flyaway Full		Bar/Flip/Twist	Inward Flyaway 540	A one and a half twisting Inward Flyaway.
293	Handstand		360 Dive Handstand, Dash Handstand, Dive Handstand, Down Monkey Handstand, Giant Release Half Twist Handstand Catch, Handstand Castaway Back, Handstand Gainer, Lache Handstand, One-Hand Handstand, Roll Kip-up Handstand			A position where you balance on only both hands while inverted.
294	Wall Roll Punch Wall Flip	Punch Wall Flip, Wall Roll		Wall/Roll/Flip	Avsha Bomb	One-step Wall Roll into a Punch Wall Flip.
295	360 Kong	360 Dive Roll, Kong Vault	360 Dive Kong, 360 Kong 360	Vault/Twist	Vortex Cat Pass, Vortex Kong	A 360 dive to Kong Vault.
296	Arabian	Back Flip, Front Flip	Arabian One and a Half Dive Roll, Back Full, Double Arabian, Unwind Arabian	Flip/Twist		A half twisting Back Flip into a front tuck.
297	Double Side Flip	Side Flip	Side-In Back-Out	Flip		A double rotating Side Flip.
298	Tunnel Full	Tunnel Flip		Flip/Twist		A full twisting Tunnel Flip.
299	Castaway Side	Castaway Back	One-Step Castaway Side, Pop Castaway Side, Swing Castaway Side, Swipe Drop Castaway Side	Wall/Flip	Palm Drop Side	A sideways cast set into a side tuck.
300	Double Palm Flip	Palm Flip		Wall/Flip		A double rotating Palm Flip.
301	Dive Reverse Underbar	Reverse Underbar		Bar		An underbar using both hands to pull the body through head first.
302	Wall Inward Double Aerial Twist	Wall Inward Aerial Twist		Wall/Flip/Twist	Wall Inward Double A-twist	A double twisting Wall Inward Aerial Twist.
303	Cartwheel		360 Dive Cartwheel, Aerial, Gumbi, Helicoptero, Rail Cartwheel, Wall Cartwheel			A sideways inverted movement using both hands reaching the ground one at a time to support the body as each leg swings over positioning the body facing the direction it started.
304	Aerial	Cartwheel	Aerial Twist, Frisbee, Palm Spin Aerial, Raiz	Flip		A no-handed Cartwheel.
305	One-Hand Down Monkey	Down Monkey	One-Hand Down Monkey Full, Palm Macaco Twist, Wall Gainer One-Hand Down Monkey	Wall/Flip		Down Monkey using only one hand.
306	Lache 180 Wall Front	Reverse Lache Two-Foot Wall Front		Bar/Wall/Flip/Twist		A half twisting Lache into a punch front tuck off a wall.
307	Wall Inward Front Half	Wall Inward Front	Wall Inward Front Full	Wall/Flip/Twist	Wall Loser Half	A half twisting Wall Inward Front.
308	Elbow Castaway Back	Castaway Back		Wall/Flip		Castaway set off of both elbows.
309	Slant Kong Gainer	Kong Vault	Double Kong Slant Gainer, Slant Kong Double Gainer, Slant Kong Gainer Cat, Slant Kong Gainer Full, Slant Kong Gainer Full-Down, Slant Kong Gainer Layout	Vault/Flip	Cheat Cat Pass Gainer, Cheat Kong Gainer, Slant Cat Pass Gainer	Kong Gainer set from a slanted angle allowing both legs to pass over the vault on one side instead of between the arms causing body to flip off axis.
310	Swing Castaway Full	Swing Castaway Back	Swing Castaway Double Full, Swing Castaway Kick Full	Bar/Flip/Twist	Back Uprise Full	A full twisting Swing Castaway. This was first landed by Vlas Vladimirov in 2013.
311	Turn Castaway Back	Castaway Back	Sitting Turn Castaway Back, Turn Castaway Full	Wall/Flip		A set turning into a ledge or Turn Vault set into Castaway Back.
312	Backward Roll Bomb	Backward Roll		Roll/Flip		A backwards roll off a ledge into a back tuck.
313	Wall Gainer Full	Wall Gainer		Wall/Flip/Twist		A full twisting Wall Gainer. This move was first landed by Adry Cemel in 2011.
314	Cast Kash Bomb	Kash Bomb		Bar/Flip		A cast set into a Kash Bomb. This was first landed by Ethan Klickstein in 2014.
315	Touchdown Side Flip	Side Flip		Vault/Flip		A touchdown on the obstacle while setting for a Side Flip.
316	Palm Double Leg Twist	Double Leg Twist		Bar/Flip/Twist		Double Leg palming off a wall to initiate twist. Reference Club540.com for Double Leg Twist.
317	Frisbee Vault Gyro	Frisbee Vault		Vault/Twist		Frisbee Vault into a full twist after the flip.
318	Sitting Touchdown Butterfly Twist		Sitting Touchdown Double Butterfly Twist	Wall/Twist	Sitting Td B-twist	Butterfly Twist set from half sitting position and by touching down to set the body for the flat spin. Reference Club540.com for Butterfly Twist.
319	Wall Cartwheel	Cartwheel	One-Hand Wall Cartwheel	Wall	Rotor	One step up a wall into a Cartwheel.
320	Frog Pimp	Pimp Flip		Flip		A two-hand Pimp Flip set from Frog position parallel to a ledge.
321	Pimp Spin Gainer Full	Pimp Spin Gainer		Beam/Flip/Twist		A full twisting Pimp Spin Gainer.
322	Dash Bomb Half	Dash Bomb		Vault/Flip/Twist	Dash Barani	A half twisting Dash Bomb.
323	Cheat Devil Drop	Webster Front		Wall/Flip		Devil Drop set by swinging one leg from Cat Hang position. Reference Club540.com for Webster.
324	Cheat Angel Drop	Sideway Gainer		Wall/Flip		Sideway Gainer set by swinging one leg from Cat Hang position with one hand.
325	Swing Castaway Back	Castaway Back	Elbow Swing Castaway Back, One-Hand Swing Castaway Back, Swing Castaway Arabian, Swing Castaway Back Regrab, Swing Castaway Double Back, Swing Castaway Flash Kick, Swing Castaway Full, Swing Castaway Full-Down, Swing Castaway Full-Up, Swing Castaway Layout, Swing Castaway Pike, Swing Castaway Punch Layout, Swing Castaway Rodeo, Swing Castaway Stall Back, Swing Castaway Wrap Full, Swing Castaway X-Out	Bar/Flip	Back Uprise Back Tuck	Castaway set after releasing from a backwards swing off a high bar.
326	Palm Tunnel Flip	Tunnel Flip		Wall/Flip		Tunnel Flip set by pushing against the vertical face of a wall with one hand.
327	Wall Full-Up Inward Front	Wall Inward Front, Wall Pop 360		Wall/Flip/Twist	Wall 360 Inward Front, Wall Vortex Inward Front, Wall Inward Pig Skin, Wall Inward Psycho Crusher	One step set up a wall into a full twist into an inward front tuck. This was first landed by Farshad Mohammadian in 2014.
328	Dyno		Dyno 360, Dyno Palm Flip	Wall		A move used from Cat Hang position by stepping up the wall and shooting up both hands to grab a higher ledge.
329	Rail Cartwheel	Cartwheel		Vault		Cartwheel executed over a rail or a wall by placing both hands down in front of the object and then pivoting over it using the hip.
330	Knee Giant	Baby Knee Giant	Knee Giant Pimp Flip	Bar		A move where the performer holds onto a high bar with both knees while swinging around it fully extended.
331	Single Ankle Front	Front Flip	Single Ankle Rudi	Flip	Pop Top	Front Flip set with one ankle placed on a low object behind the performer.
332	Shin Slide				Conveyor Belt	A slide down on top of a rail using the outside of the calf.
333	Inward 720 Dive Roll	Inward 360 Dive Roll	Inward 1080 Dive Roll	Roll/Twist	Inward Double Vortex	An Inward 360 Dive Roll set with an additional full twist. This was first landed by Sam Sarmiento in 2014.
334	Shoulder Mount Gainer	Shoulder Mount		Bar/Flip	Shoulder Gainer	Gainer set from Shoulder Mount position (Pole Dancing position).
